Country,Access to electricity (% of population),"Birth rate, crude (per 1,000 people)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Expense (% of GDP),"Fertility rate, total (births per woman)",Fixed broadband subscriptions (per 100 people),GDP (current US$),GDP per capita (current US$),Government Effectiveness: Estimate,Gross national expenditure (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),"Intentional homicides (per 100,000 people)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (current USD),Mobile cellular subscriptions (per 100 people),Net migration,Population ages 65 and above (% of total population),Proportion of seats held by women in national parliaments (%),Refugee population by country or territory of asylum,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Total reserves minus gold (current US$),Unemployment with basic education (% of total labor force with basic education),Urban population (% of total population)
Afghanistan,97.7,36.051,76.23153687,7.339715004,,4.75,0.0680079,19955929052,510.7870634,-1.611539483,125.9125668,-2.737769441,0.400284141,6.594439084,42.596,62.575,,279576954.9,58.1902139,143634,2.370733824,27.01612903,72278,0.011,8419488004,11.103,26.026
Albania,100,10.285,59.47789383,,24.60481616,1.4,17.7209,15241458745,5370.778623,-0.155121222,114.439197,17.65721449,0.634250939,2.127772012,67.153,76.989,,196596309,91.35050062,-16680,14.76700441,29.50819672,105,4.47,4647187149,9.346,62.112
Algeria,99.7,22.431,38.9657402,,,2.942,8.60645,1.65E+11,3743.541952,-0.573643208,109.3193543,33.33708651,0.534556448,1.505120655,42.922,74.453,,9708277440,104.842178,-10798,5.894088907,25.75757576,97651,0.54,48882051110,,73.733
American Samoa,,12.7,,,,,,721000000,14489.25866,0.632649243,,,,,,,,,,-653,6.36536278,,,,,,87.153
Andorra,100,,27.38309097,,,,48.656,2891001149,37361.09007,1.749241352,,,,2.574002574,,,,,103.4491634,572,14.2168519,46.42857143,,9.68,,,87.916
Angola,47,39.271,41.67828369,,,5.371,0.363264,48501561204,1449.922867,-1.257484555,89.31294745,28.06598155,0.36240539,,75.686,62.261,,993594404.6,43.81009059,7556,2.725608767,30,25791,4.13,13781988140,,66.825
Antigua and Barbuda,100,12.16,37.58075714,,,1.569,8.71023,1410796296,15360.45442,-0.204794809,,,0.5957039,9.712509713,,78.841,,,198.5668652,0,9.863249352,11.11111111,,6.66,221808945.9,,24.433
Argentina,100,14.125,35.73628998,,25.84053076,1.911,21.1798,3.86E+11,8535.59938,-0.254261822,96.99286993,15.01213532,0.602144718,5.366813844,63.716,75.892,,2830929705,121.6001889,292,11.79343399,40.85603113,3965,8.05,35649970286,14.823,92.111
Armenia,100,12.455,79.64,96,26.58128778,1.575,14.8884,12641698583,4268.680933,-0.304547429,109.9588337,15.65573239,0.578998804,1.85343037,72.624,72.173,100,633960400.1,124.3508359,-13046,12.34328153,23.48484848,107910,4.28,2615530571,7.806,63.313
Aruba,100,8.102,,,,1.325,17.6909,2481857123,22855.93232,1.074959755,118.1520584,1.355998493,,,,75.723,97.98999786,,132.2887836,0,14.57674778,,,,1023468720,,43.697
